Fecha,Cierre,,,
01/09/2022,82.56,,,
02/09/2022,83.09,,,
03/09/2022,83.09,,,
04/09/2022,83.15,,,
05/09/2022,83.15,,,
06/09/2022,83.13,,,
07/09/2022,78.48,,,
08/09/2022,79.18,,,
09/09/2022,82.50,,,
10/09/2022,82.45,,,
11/09/2022,83.00,,,
12/09/2022,83.71,,,
13/09/2022,83.46,,,
14/09/2022,84.13,,,
15/09/2022,81.39,,,
16/09/2022,81.39,,,
17/09/2022,81.76,,,
18/09/2022,81.85,,,
19/09/2022,82.04,,,
20/09/2022,81.05,,,
21/09/2022,80.08,,,
22/09/2022,80.20,,,
23/09/2022,76.03,,,
24/09/2022,76.15,,,
25/09/2022,76.19,,,
26/09/2022,73.66,,,
27/09/2022,73.58,,,
28/09/2022,78.26,,,
29/09/2022,77.79,,,
30/09/2022,77.16,,,
01/10/2022,77.15,,,
02/10/2022,77.18,,,
03/10/2022,77.10,,,
04/10/2022,79.78,,,
05/10/2022,81.33,,,
06/10/2022,82.34,,,
07/10/2022,85.87,,,
08/10/2022,85.12,,,
09/10/2022,85.09,,,
10/10/2022,84.58,,,
11/10/2022,82.67,,,
12/10/2022,82.67,,,
13/10/2022,82.45,,,
14/10/2022,79.68,,,
15/10/2022,79.56,,,
16/10/2022,79.50,,,
17/10/2022,79.42,,,
18/10/2022,77.47,,,
19/10/2022,79.39,,,
20/10/2022,79.82,,,
21/10/2022,80.75,,,
22/10/2022,80.50,,,
23/10/2022,80.60,,,
24/10/2022,80.59,,,
25/10/2022,80.54,,,
26/10/2022,82.38,,,
27/10/2022,83.65,,,
28/10/2022,82.61,,,
29/10/2022,82.50,,,
30/10/2022,82.12,,,
31/10/2022,81.39,,,
01/11/2022,81.39,,,
02/11/2022,81.84,,,
03/11/2022,81.84,,,
04/11/2022,85.78,,,
05/11/2022,85.22,,,
06/11/2022,85.34,,,
07/11/2022,85.22,,,
08/11/2022,82.77,,,
09/11/2022,79.88,,,
10/11/2022,80.18,,,
11/11/2022,82.79,,,
12/11/2022,82.00,,,
13/11/2022,81.72,,,
14/11/2022,80.06,,,
15/11/2022,80.19,,,
16/11/2022,79.29,,,
17/11/2022,75.91,,,
18/11/2022,73.97,,,
19/11/2022,73.97,,,
20/11/2022,73.99,,,
21/11/2022,74.10,,,
22/11/2022,74.25,,,
23/11/2022,71.69,,,
24/11/2022,71.69,,,
25/11/2022,71.69,,,
28/11/2022,69.90,,,
29/11/2022,70.84,,,
30/11/2022,72.77,,,
01/12/2022,71.08,,,
02/12/2022,69.88,,,
03/12/2022,68.32,,,
04/12/2022,67.12,,,
05/12/2022,65.10,,,
06/12/2022,64.15,,,
07/12/2022,61.86,,,
08/12/2022,60.86,,,
09/12/2022,60.42,,,
10/12/2022,60.53,,,
11/12/2022,61.30,,,
12/12/2022,61.97,,,
13/12/2022,64.67,,,
14/12/2022,66.73,,,
15/12/2022,65.73,,,
16/12/2022,63.86,,,
17/12/2022,64.00,,,
18/12/2022,64.12,,,
19/12/2022,64.59,,,
20/12/2022,65.22,,,
21/12/2022,67.21,,,
22/12/2022,66.62,,,
23/12/2022,68.81,,,
24/12/2022,68.94,,,
25/12/2022,68.99,,,
26/12/2022,68.35,,,
27/12/2022,69.11,,,
28/12/2022,68.28,,,
29/12/2022,67.32,,,
30/12/2022,69.71,,,
31/12/2022,69.71,,,
01/01/2023,69.71,,,
02/01/2023,69.71,,,
03/01/2023,65.84,,,
04/01/2023,61.66,,,
05/01/2023,62.47,,,
06/01/2023,62.51,,,
07/01/2023,63.00,,,
08/01/2023,63.10,,,
09/01/2023,63.50,,,
10/01/2023,63.89,,,
11/01/2023,66.24,,,
12/01/2023,67.54,,,
13/01/2023,68.94,,,
14/01/2023,69.00,,,
15/01/2023,69.10,,,
16/01/2023,69.50,,,
17/01/2023,69.71,,,
18/01/2023,69.16,,,
19/01/2023,69.88,,,
20/01/2023,71.10,,,
21/01/2023,71.00,,,
22/01/2023,71.25,,,
23/01/2023,70.00,,,
24/01/2023,70.12,,,
25/01/2023,69.82,,,
26/01/2023,71.07,,,
27/01/2023,70.17,,,
28/01/2023,69.15,,,
29/01/2023,68.79,,,
30/01/2023,68.46,,,
31/01/2023,68.66,,,
01/02/2023,66.61,,,
02/02/2023,65.83,,,
03/02/2023,63.63,,,
04/02/2023,64.58,,,
05/02/2023,65.15,,,
06/02/2023,66.85,,,
07/02/2023,67.27,,,
08/02/2023,68.60,,,
09/02/2023,68.21,,,
10/02/2023,69.92,,,
11/02/2023,69.92,,,
12/02/2023,69.92,,,
13/02/2023,70.33,,,
14/02/2023,69.47,,,
15/02/2023,69.06,,,
16/02/2023,68.82,,,
17/02/2023,66.68,,,
18/02/2023,66.56,,,
19/02/2023,66.74,,,
20/02/2023,66.63,,,
21/02/2023,66.63,,,
22/02/2023,64.22,,,
23/02/2023,65.69,,,
